STORM NAME & YEAR,DATE RANGE,MAX WIND SPEED,MIN PRESSURE,MAX CATEGORY
UNNAMED 1939,"Aug 07, 1939 to Aug 19, 1939",65,985,H1
UNNAMED 1937,"Aug 24, 1937 to Sep 02, 1937",60,-1,TS
UNNAMED 1937,"Jul 29, 1937 to Aug 02, 1937",60,996,TS
UNNAMED 1936,"Aug 20, 1936 to Aug 23, 1936",50,-1,TS
UNNAMED 1934,"Jul 22, 1934 to Jul 26, 1934",75,979,H1
UNNAMED 1933,"Aug 31, 1933 to Sep 07, 1933",120,945,H4
UNNAMED 1930,"Aug 29, 1930 to Sep 17, 1930",135,933,H4
UNNAMED 1928,"Sep 06, 1928 to Sep 21, 1928",140,929,H5
UNNAMED 1928,"Aug 03, 1928 to Aug 13, 1928",90,971,H2
UNNAMED 1926,"Jul 22, 1926 to Aug 02, 1926",120,967,H4
UNNAMED 1925,"Nov 27, 1925 to Dec 05, 1925",55,980,TS
UNNAMED 1921,"Oct 20, 1921 to Oct 30, 1921",120,941,H4
UNNAMED 1921,"Oct 15, 1921 to Oct 24, 1921",60,-1,TS
UNNAMED 1920,"Sep 25, 1920 to Sep 30, 1920",75,-1,H1
UNNAMED 1916,"Aug 21, 1916 to Aug 26, 1916",95,-1,H2
UNNAMED 1916,"May 13, 1916 to May 18, 1916",40,990,TS
UNNAMED 1915,"Jul 31, 1915 to Aug 05, 1915",65,990,H1
UNNAMED 1912,"Oct 03, 1912 to Oct 10, 1912",80,-1,H1
UNNAMED 1911,"Oct 26, 1911 to Nov 01, 1911",45,-1,TS
UNNAMED 1910,"Oct 09, 1910 to Oct 23, 1910",130,924,H4
UNNAMED 1909,"Aug 28, 1909 to Aug 31, 1909",45,-1,TS
UNNAMED 1909,"Jun 26, 1909 to Jul 04, 1909",45,-1,TS
UNNAMED 1906,"Oct 14, 1906 to Oct 17, 1906",45,-1,TS
UNNAMED 1906,"Oct 08, 1906 to Oct 23, 1906",105,953,H3
UNNAMED 1899,"Oct 02, 1899 to Oct 08, 1899",50,-1,TS
UNNAMED 1898,"Aug 02, 1898 to Aug 03, 1898",70,-1,H1
UNNAMED 1897,"Sep 20, 1897 to Sep 25, 1897",60,-1,TS
UNNAMED 1894,"Sep 18, 1894 to Oct 01, 1894",105,985,H3
UNNAMED 1893,"Sep 25, 1893 to Oct 15, 1893",105,955,H3
UNNAMED 1893,"Aug 15, 1893 to Sep 02, 1893",105,954,H3
UNNAMED 1892,"Oct 21, 1892 to Oct 29, 1892",45,-1,TS
UNNAMED 1891,"Oct 07, 1891 to Oct 16, 1891",40,-1,TS
UNNAMED 1889,"Sep 15, 1889 to Sep 19, 1889",45,-1,TS
UNNAMED 1889,"Jun 15, 1889 to Jun 20, 1889",65,-1,H1
UNNAMED 1888,"Sep 06, 1888 to Sep 13, 1888",50,999,TS
UNNAMED 1887,"Oct 29, 1887 to Nov 06, 1887",60,990,TS
UNNAMED 1886,"Jul 14, 1886 to Jul 24, 1886",75,990,H1
UNNAMED 1885,"Aug 21, 1885 to Aug 28, 1885",90,958,H2
UNNAMED 1880,"Oct 05, 1880 to Oct 10, 1880",70,-1,H1
UNNAMED 1880,"Aug 24, 1880 to Sep 01, 1880",90,972,H2
UNNAMED 1879,"Oct 24, 1879 to Oct 29, 1879",70,-1,H1
UNNAMED 1878,"Sep 01, 1878 to Sep 13, 1878",90,970,H2
UNNAMED 1878,"Jul 07, 1878 to Jul 12, 1878",55,-1,TS
UNNAMED 1876,"Oct 12, 1876 to Oct 23, 1876",100,958,H3
UNNAMED 1873,"Sep 26, 1873 to Oct 10, 1873",100,959,H3
UNNAMED 1873,"Sep 22, 1873 to Sep 24, 1873",50,-1,TS
UNNAMED 1872,"Oct 22, 1872 to Oct 28, 1872",70,-1,H1
UNNAMED 1871,"Aug 17, 1871 to Aug 30, 1871",100,962,H3
UNNAMED 1871,"Aug 14, 1871 to Aug 23, 1871",100,952,H3
UNNAMED 1867,"Oct 06, 1867 to Oct 07, 1867",-1,-1,NR
UNNAMED 1863,"Sep 11, 1863 to Sep 20, 1863",55,-1,TS
UNNAMED 1862,"Sep 12, 1862 to Sep 18, 1862",60,-1,TS
UNNAMED 1861,"Nov 01, 1861 to Nov 03, 1861",70,999,H1
UNNAMED 1859,"Oct 24, 1859 to Oct 29, 1859",80,989,H1
UNNAMED 1858,"Sep 14, 1858 to Sep 17, 1858",90,979,H2
UNNAMED 1857,"Oct 05, 1857 to Oct 12, 1857",65,-1,H1
UNNAMED 1852,"Sep 09, 1852 to Sep 13, 1852",70,-1,H1
